#{"t_start": 1702230013.5230885, "env_id": null}
r,l,t
0,7,8560.231039
0,7,8566.580596
0,8,8570.330039
0,8,8574.080169
0,7,8580.581229
0,7,8587.197828
0,7,8593.548883
1,7,8600.098435
0,7,8615.766155
0,7,8622.115987
0,8,8625.918163
1,7,8632.600912
1,7,8639.583175
0,7,8645.900319
0,7,8652.700893
0,7,8659.101065
0,8,8662.883532
0,8,8666.733684
0,7,8673.33912
0,7,8680.736898
0,8,8684.78669
0,7,8700.504858
0,7,8706.937262
0,8,8710.745157
0,7,8717.953202
0,7,8724.436481
0,8,8728.120555
0,7,8734.636797
0,8,8738.269747
0,7,8744.821188
0,7,8753.144511
0,7,8762.62149
0,7,8769.371979
0,7,8779.500481
0,8,8787.588984
1,7,8808.873047
0,8,8812.722914
1,7,8820.408767
1,7,8828.878747
0,8,8833.041255
0,7,8842.627694
0,7,8859.346927
0,7,8868.529355
0,7,8879.415183
0,7,8887.625076
0,7,8894.244088
0,7,8902.662452
0,7,8910.271314
1,7,8919.092685
0,7,8935.444039
0,7,8942.277216
0,8,8945.91022
0,8,8949.609637
0,7,8955.945513
0,7,8962.460523
0,7,8969.045142
0,8,8972.74401
0,8,8976.528995
0,8,8980.463399
0,7,8987.780802
0,8,8992.063377
0,8,8996.316188
0,8,9017.748538
0,8,9022.084124
0,7,9029.047479
0,7,9036.029514
0,7,9042.328967
0,8,9046.145874
0,8,9049.779311
1,7,9055.862526
0,8,9059.67883
0,8,9063.429498
0,8,9067.245875
0,8,9070.946421
0,8,9074.729261
0,8,9087.74657
0,7,9094.180473
0,7,9100.747857
0,7,9107.313662
0,7,9113.830713
0,7,9120.180852
0,7,9127.181494
0,7,9133.998955
0,8,9137.648168
1,7,9144.231623
0,7,9150.598075
0,7,9156.798233
0,7,9163.299892
0,7,9169.482226
