#{"t_start": 1702393806.5680215, "env_id": null}
r,l,t
0,7,5841.183119
1,7,5848.336786
0,7,5856.392899
0,8,5861.80159
0,8,5870.41894
0,7,5879.665601
0,7,5887.676785
1,7,5897.237483
0,7,5905.70408
0,7,5913.18432
1,7,5922.137918
1,7,5931.06455
1,7,5939.017298
0,7,5946.988192
0,7,5956.22161
0,7,5964.336591
1,7,5973.494786
0,7,5982.397022
0,7,5990.690862
0,7,5998.991379
1,7,6007.570477
0,7,6016.78353
0,7,6024.331167
0,7,6031.397589
1,7,6039.196438
0,7,6046.41335
0,7,6053.685871
0,7,6060.963259
0,7,6067.914444
0,7,6074.882848
0,7,6082.262815
1,7,6089.982368
0,7,6097.11431
0,7,6104.396263
0,7,6111.445951
0,7,6118.263455
0,7,6125.162665
1,7,6132.447301
0,7,6139.482005
0,7,6146.397395
0,7,6153.162183
1,7,6160.615583
0,7,6167.563486
0,7,6174.39643
1,7,6181.718396
0,7,6189.296157
0,7,6196.263691
0,7,6203.413142
1,7,6210.664148
0,7,6217.748726
0,7,6224.915641
0,7,6232.046767
0,7,6239.699001
0,7,6246.965729
0,7,6254.317333
0,7,6262.180396
0,7,6269.347842
0,7,6276.749437
0,7,6283.996457
0,7,6291.430359
1,7,6299.049179
0,7,6306.329092
0,7,6313.528941
0,7,6321.198766
0,7,6328.514775
0,7,6335.912573
0,7,6343.11492
0,7,6350.255187
0,7,6356.947528
0,7,6363.93087
0,8,6368.077787
0,8,6372.332104
0,7,6380.029546
1,7,6387.996415
0,8,6392.064565
1,7,6399.845504
0,8,6404.011455
0,7,6411.130184
0,7,6418.514974
1,7,6426.115706
0,7,6433.51512
0,8,6437.646136
0,7,6445.578916
0,7,6453.081849
0,7,6460.531786
0,7,6467.67895
0,8,6471.728713
1,7,6479.254483
1,7,6487.316775
0,7,6494.634337
0,7,6501.931514
1,7,6509.995868
0,7,6517.646637
0,7,6524.898107
-1,7,6532.679693
1,7,6540.515625
1,7,6548.247513
0,7,6555.530134
1,7,6562.800372
0,8,6567.324225
0,7,6574.413018
0,7,6581.530026
1,7,6589.095206
1,7,6596.8808
0,8,6601.013138
0,7,6608.147942
0,7,6615.111919
0,7,6622.34821
0,7,6630.606723
0,7,6637.818969
0,7,6644.696124
0,7,6652.217258
0,8,6656.311323
1,7,6663.57194
0,7,6670.362714
1,7,6677.322655
1,7,6684.212373
1,7,6691.637634
1,7,6698.363149
0,7,6705.01154
1,7,6711.611716
0,8,6715.494739
0,8,6719.464274
0,8,6723.296119
0,7,6729.894776
1,7,6736.795162
0,7,6743.311626
0,7,6749.966546
0,7,6757.53035
1,7,6765.428065
0,7,6772.829547
0,7,6780.313278
0,7,6787.950739
0,7,6795.422979
0,7,6802.847316
0,7,6811.137168
-1,7,6819.519367
0,7,6827.739018
1,7,6836.291384
1,7,6844.952909
0,7,6853.745259
0,7,6860.245079
1,7,6866.82886
1,7,6873.344889
0,7,6879.577952
0,7,6885.661495
0,7,6892.094854
0,7,6898.494788
0,7,6904.761695
-1,7,6911.394943
1,7,6917.945064
1,7,6924.562451
0,8,6928.512102
0,7,6934.961365
1,7,6941.244931
0,7,6947.595742
0,7,6953.862022
0,7,6960.328356
0,7,6966.545169
0,8,6970.511891
0,7,6977.428861
0,7,6983.878699
0,7,6990.195893
0,7,6996.429239
0,7,7002.695546
0,7,7008.995094
1,7,7015.562887
0,8,7019.16157
1,7,7025.728599
0,7,7032.195166
0,7,7038.829199
0,7,7046.39953
1,7,7053.762539
1,7,7060.696272
1,7,7067.278723
0,7,7073.711951
0,8,7077.461707
1,7,7084.112087
0,7,7090.561969
0,7,7096.928692
0,7,7103.346131
1,7,7109.995433
0,7,7116.462033
1,7,7123.078725
0,7,7129.396149
1,7,7135.728794
0,7,7141.945423
1,7,7148.428852
1,7,7155.029628
1,7,7161.446342
1,7,7168.046431
0,7,7174.213968
0,7,7180.495445
0,7,7186.929021
0,7,7193.462469
0,7,7199.878906
0,7,7206.195694
0,7,7213.229246
0,7,7219.898298
1,7,7227.030046
0,7,7235.199513
1,7,7242.162369
0,7,7248.395881
0,7,7254.679219
0,7,7262.049468
0,7,7269.398865
0,7,7275.729954
0,7,7282.095907
0,7,7288.462373
0,7,7294.69547
1,7,7301.345384
0,7,7307.844782
0,7,7314.230019
1,7,7322.214657
0,7,7329.862912
1,7,7336.360368
0,7,7342.609803
0,7,7348.97661
0,7,7355.443246
0,7,7361.725655
0,7,7368.17549
0,8,7371.941493
0,7,7378.309234
1,7,7384.807985
0,7,7391.090944
0,7,7397.540694
1,7,7404.123927
1,7,7410.656776
1,7,7417.356945
0,7,7423.956382
0,7,7430.289389
0,7,7436.573723
1,7,7442.922404
0,8,7446.571877
0,8,7450.388273
0,7,7456.755047
1,7,7463.388282
0,7,7469.63852
1,7,7476.287671
0,7,7482.637279
1,7,7489.320569
0,7,7495.786883
0,7,7502.08661
0,8,7505.902857
1,7,7512.419721
1,7,7519.069452
0,7,7525.419485
1,7,7532.052457
0,7,7538.452301
0,7,7544.785119
0,7,7551.268296
1,7,7557.651439
0,7,7564.001201
0,8,7567.934084
0,8,7572.089725
0,7,7579.067325
1,7,7585.568412
0,7,7591.800363
1,7,7598.533859
